,khipu_id,name,num_sum_cords,num_left_sums,num_right_sums,min_sum,max_sum,mean_sum,handedness
193,1000632,JC008,0,0,0,0,0,0,0
194,1000633,JC009,3,1,2,30,42,35,-2
195,1000634,JC010,14,7,7,11,50,25,5.642857142857143
196,1000635,JC011,3,0,3,13,23,16,32.333333333333336
197,1000636,JC012,0,0,0,0,0,0,0
198,1000637,JC013,0,0,0,0,0,0,0
199,1000638,JC014,0,0,0,0,0,0,0
200,1000639,JC015,0,0,0,0,0,0,0
201,1000640,JC016,0,0,0,0,0,0,0
202,1000641,JC017,0,0,0,0,0,0,0
203,1000642,JC018,0,0,0,0,0,0,0
204,1000643,JC019,0,0,0,0,0,0,0
205,1000644,JC020,0,0,0,0,0,0,0
206,1000645,JC021,0,0,0,0,0,0,0
207,1000646,JC022,0,0,0,0,0,0,0
208,1000647,JC023,0,0,0,0,0,0,0
209,1000012,UR002,0,0,0,0,0,0,0
210,1000020,UR003,0,0,0,0,0,0,0
211,1000005,UR005,9,9,0,39,134,83,-24.22222222222222
212,1000025,UR006,19,6,13,11,21,14,65
213,1000006,UR007,0,0,0,0,0,0,0
214,1000001,UR008,0,0,0,0,0,0,0
215,1000019,UR009,1,1,0,12,12,12,-139
216,1000004,UR010,32,21,11,15,111,36,-17.25
217,1000007,UR011,3,2,1,107,214,150,11.333333333333334
218,1000009,UR012,0,0,0,0,0,0,0
219,1000008,UR013,0,0,0,0,0,0,0
220,1000011,UR014,0,0,0,0,0,0,0
221,1000010,UR015,0,0,0,0,0,0,0
222,1000018,UR016,88,40,48,11,99,32,1.0340909090909092
223,1000003,UR018,0,0,0,0,0,0,0
224,1000000,UR019,0,0,0,0,0,0,0
225,1000002,UR020,0,0,0,0,0,0,0
226,1000022,UR021,7,4,3,11,20,17,-8.857142857142858
227,1000045,UR022,110,35,75,12,572,64,38.945454545454545
228,1000307,UR023,0,0,0,0,0,0,0
229,1000306,UR024,0,0,0,0,0,0,0
230,1000335,UR026,0,0,0,0,0,0,0
231,1000303,UR027,0,0,0,0,0,0,0
232,1000304,UR028,3,0,3,12,29,18,28.333333333333332
233,1000305,UR029,0,0,0,0,0,0,0
234,1000330,UR032,0,0,0,0,0,0,0
235,1000276,UR033,0,0,0,0,0,0,0
236,1000380,UR034,7,3,4,11,766,130,6
237,1000331,UR037,12,4,8,14,42,23,10.083333333333334
238,1000277,UR038,0,0,0,0,0,0,0
239,1000098,UR040,0,0,0,0,0,0,0
240,1000099,UR041,3,2,1,22,32,27,-1
241,1000100,UR042,0,0,0,0,0,0,0
242,1000332,UR045,11,7,4,11,15,13,-30.181818181818183
243,1000241,UR046,0,0,0,0,0,0,0
244,1000240,UR047,3,3,0,60,120,93,-9
245,1000239,UR048,2,0,2,12,13,12,16.5
246,1000238,UR049,4,2,2,40,588,278,25.5
247,1000375,UR051,4,0,4,12,28,16,25.75
248,1000265,UR053A,0,0,0,0,0,0,0
249,1000266,UR053B,3,0,3,53,53,53,17.333333333333332
250,1000267,UR053C,6,4,2,16,74,40,-1.6666666666666667
251,1000268,UR053D,7,1,6,65,255,98,30.571428571428573
252,1000269,UR053E,14,3,11,13,64,34,16.071428571428573
253,1000295,UR056A,1,0,1,30,30,30,5
254,1000296,UR056B,0,0,0,0,0,0,0
255,1000297,UR056C,0,0,0,0,0,0,0
256,1000309,UR057,3,0,3,16,20,17,9.333333333333334
257,1000298,UR058A,0,0,0,0,0,0,0
258,1000299,UR058B,0,0,0,0,0,0,0
259,1000390,UR059,12,8,4,15,236,51,-29.916666666666668
260,1000264,UR060,0,0,0,0,0,0,0
261,1000246,UR061,3,1,2,71,91,79,6.333333333333333
262,1000243,UR062,0,0,0,0,0,0,0
263,1000259,UR063,5,4,1,12,13,12,-29.2
264,1000263,UR064,1,1,0,46,46,46,-33
265,1000242,UR065,0,0,0,0,0,0,0
266,1000261,UR066,0,0,0,0,0,0,0
267,1000260,UR067,0,0,0,0,0,0,0
268,1000262,UR068,1,1,0,13,13,13,-24
269,1000245,UR069,0,0,0,0,0,0,0
270,1000247,UR070,0,0,0,0,0,0,0
271,1000248,UR071,0,0,0,0,0,0,0
272,1000249,UR072,5,1,4,12,22,15,11.8
273,1000250,UR073,1,0,1,12,12,12,14
274,1000251,UR074,1,1,0,34,34,34,-45
275,1000252,UR075,0,0,0,0,0,0,0
276,1000253,UR076,0,0,0,0,0,0,0
277,1000244,UR077,0,0,0,0,0,0,0
278,1000254,UR078,0,0,0,0,0,0,0
279,1000255,UR079,0,0,0,0,0,0,0
280,1000256,UR080,1,0,1,23,23,23,7
281,1000257,UR081,0,0,0,0,0,0,0
282,1000258,UR082,0,0,0,0,0,0,0
283,1000319,UR084,0,0,0,0,0,0,0
284,1000280,UR085,3,0,3,160,401,242,40.666666666666664
285,1000336,UR086,11,5,6,20,897,165,6.7272727272727275
286,1000273,UR087,55,31,24,11,26,14,-20.654545454545456
287,1000270,UR088,1,1,0,184,184,184,-18
288,1000275,UR089,11,8,3,11,61,43,-10.181818181818182
289,1000274,UR090,4,2,2,15,90,50,0.5
290,1000271,UR091,1,1,0,70,70,70,-24
291,1000272,UR092,0,0,0,0,0,0,0
292,1000321,UR093,4,2,2,20,24,22,-16
293,1000337,UR094,0,0,0,0,0,0,0
294,1000338,UR095,0,0,0,0,0,0,0
295,1000339,UR096,0,0,0,0,0,0,0
296,1000340,UR097,1,1,0,77,77,77,-26
297,1000347,UR098,0,0,0,0,0,0,0
298,1000348,UR099,0,0,0,0,0,0,0
299,1000349,UR100,0,0,0,0,0,0,0
300,1000350,UR101,0,0,0,0,0,0,0
301,1000351,UR102,7,6,1,22,41,28,-19.142857142857142
302,1000352,UR103,0,0,0,0,0,0,0
303,1000103,UR1032,2,1,1,11,11,11,-48
304,1000105,UR1033A,0,0,0,0,0,0,0
305,1000106,UR1033B,0,0,0,0,0,0,0
306,1000107,UR1033C,0,0,0,0,0,0,0
307,1000108,UR1033D,2,0,2,16,30,23,13.5
308,1000109,UR1033E,0,0,0,0,0,0,0
