,khipu_id,name,cluster_sum,is_top_cluster,is_duplicate_cluster,left_cluster_id,left_cluster_position,left_num_cluster_cords,left_cluster_sum_string,right_cluster_id,right_cluster_position,right_num_cluster_cords,right_cluster_sum_string,cluster_distance,cord_count_distance
25,1000096,AS069,177,False,False,1003333,299,7,"W@[300, 1]:1 + W@[300, 2]:40 + W@[300, 3]:30 + W@[300, 4]:34 + W@[300, 5]:45 + W@[300, 6]:27 + W@[300, 7]:0",1003331,301,9,"W@[302, 1]:10 + W@[302, 2]:0 + W@[302, 3]:0 + W@[302, 4]:0 + W@[302, 5]:101 + W@[302, 6]:0 + W@[302, 7]:0 + <span style=""color:#F80000;"">HB@[302, 2, 1]:44</span> + <span style=""color:#F80000;"">HB@[302, 5, 1]:22</span>",2,2
26,1000096,AS069,84,False,False,1003468,324,7,"W@[325, 1]:0 + W@[325, 2]:35 + W@[325, 3]:10 + W@[325, 4]:0 + W@[325, 5]:31 + W@[325, 6]:8 + W@[325, 7]:0",1003452,340,8,"W@[341, 1]:0 + W@[341, 2]:43 + W@[341, 3]:0 + W@[341, 4]:0 + W@[341, 5]:21 + W@[341, 6]:0 + W@[341, 7]:0 + <span style=""color:#F80000;"">W@[341, 5, 1]:20</span>",16,1
27,1000096,AS069,44,False,False,1003462,330,7,"W@[331, 1]:0 + W@[331, 2]:11 + W@[331, 3]:20 + W@[331, 4]:0 + W@[331, 5]:13 + W@[331, 6]:0 + W@[331, 7]:0",1003440,406,7,"W@[407, 1]:0 + W@[407, 2]:33 + W@[407, 3]:0 + W@[407, 4]:1 + W@[407, 5]:10 + W@[407, 6]:0 + W@[407, 7]:0",76,0
28,1000096,AS069,26,False,False,1003412,380,7,"W@[381, 1]:0 + W@[381, 2]:13 + W@[381, 3]:0 + W@[381, 4]:0 + W@[381, 5]:13 + W@[381, 6]:0 + W@[381, 7]:0",1003400,392,7,"W@[393, 1]:0 + W@[393, 2]:24 + W@[393, 3]:0 + W@[393, 4]:0 + W@[393, 5]:0 + W@[393, 6]:0 + <span style=""color:#F80000;"">KB@[393, 2, 1]:2</span>",12,0
29,1000096,AS069,56,False,False,1003396,396,7,"W@[397, 1]:0 + W@[397, 2]:0 + W@[397, 3]:6 + W@[397, 4]:0 + W@[397, 5]:50 + W@[397, 6]:0 + W@[397, 7]:0",1003442,404,6,"W@[405, 1]:10 + W@[405, 2]:14 + W@[405, 3]:3 + W@[405, 4]:14 + W@[405, 5]:15 + W@[405, 6]:0",8,1
30,1000131,AS156,500,False,False,1004492,1,2,"B:GG:BB@[2, 1]:140 + W@[2, 2]:360",1004493,2,2,"B@[3, 1]:140 + B@[3, 2]:360",1,0
31,1000131,AS156,100,False,False,1004500,9,2,"B:GG:BB@[10, 1]:40 + W@[10, 2]:60",1004501,10,2,"B@[11, 1]:40 + B@[11, 2]:60",1,0
32,1000131,AS156,72,False,True,1004509,18,2,"B:GG:BB@[19, 1]:20 + W@[19, 2]:52",1004511,20,2,"B:GG:BB@[21, 1]:20 + W@[21, 2]:52",2,0
33,1000131,AS156,71,False,True,1004510,19,2,"B@[20, 1]:20 + B@[20, 2]:51",1004512,21,2,"B@[22, 1]:20 + B@[22, 2]:51",2,0
34,1000131,AS156,72,False,False,1004513,22,2,"B:GG:BB@[23, 1]:20 + W@[23, 2]:52",1004516,25,2,"B@[26, 1]:20 + B@[26, 2]:52",3,0
35,1000131,AS156,71,False,True,1004514,23,2,"B@[24, 1]:20 + B@[24, 2]:51",1004518,27,2,"B@[28, 1]:20 + B@[28, 2]:51",4,0
36,1000131,AS156,72,False,True,1004520,29,2,"B@[30, 1]:20 + B@[30, 2]:52",1004522,31,2,"B@[32, 1]:20 + B@[32, 2]:52",2,0
37,1000058,AS159,57,False,False,1002211,2,6,"B@[3, 1]:25 + W:B@[3, 2]:18 + <span style=""color:#F80000;"">GA@[3, 1, 1]:3</span> + <span style=""color:#F80000;"">W@[3, 1, 2]:4</span> + <span style=""color:#F80000;"">W@[3, 2, 1]:3</span> + <span style=""color:#F80000;"">GA@[3, 2, 2]:4</span>",1002216,7,8,"B@[8, 1]:10 + B@[8, 2]:7 + B@[8, 3]:7 + B@[8, 4]:13 + B@[8, 5]:6 + B@[8, 6]:3 + B@[8, 7]:7 + <span style=""color:#F80000;"">W:B@[8, 2, 1]:4</span>",5,2
38,1000145,AS171,25,False,False,1004753,4,2,"YB:G@[5, 1]:10 + YB:G@[5, 2]:15",1004757,8,2,"LB@[9, 1]:7 + G@[9, 2]:18",4,0
39,1000146,AS172,1000,False,False,1004763,1,2,"W@[2, 1]:400 + MB@[2, 2]:600",1004768,6,4,"W@[7, 1]:200 + W@[7, 2]:200 + <span style=""color:#F80000;"">MB@[7, 1, 1]:300</span> + <span style=""color:#F80000;"">MB@[7, 2, 1]:300</span>",5,2
40,1000060,AS174,33,False,False,1002239,1,4,"W@[2, 1]:3 + LB@[2, 2]:25 + <span style=""color:#F80000;"">W@[2, 1, 1]:4</span> + <span style=""color:#F80000;"">W:LB:DB@[2, 2, 1]:1</span>",1002240,2,4,"W@[3, 1]:3 + LB@[3, 2]:24 + <span style=""color:#F80000;"">W@[3, 1, 1]:5</span> + <span style=""color:#F80000;"">W:LB:DB@[3, 2, 1]:1</span>",1,0
41,1000060,AS174,22,False,False,1002241,3,3,"W@[4, 1]:3 + LB@[4, 2]:16 + <span style=""color:#F80000;"">W@[4, 1, 1]:3</span>",1002242,4,4,"W@[5, 1]:2 + LB@[5, 2]:14 + <span style=""color:#F80000;"">W@[5, 1, 1]:4</span> + <span style=""color:#F80000;"">W:LB:DB@[5, 2, 1]:2</span>",1,1
42,1000164,AS199,513,True,False,1005225,8,6,"MB@[9, 1]:55 + MB@[9, 2]:46 + MB@[9, 3]:214 + MB:FB@[9, 4]:57 + MB:FB@[9, 5]:44 + MB:FB@[9, 6]:97",1005226,9,1,"W:MB@[10, 1]:513",1,5
43,1000164,AS199,463,True,False,1005227,10,6,"W:FB@[11, 1]:64 + W:FB@[11, 2]:44 + W:FB@[11, 3]:55 + W:DB@[11, 4]:201 + W:DB@[11, 5]:46 + W:DB@[11, 6]:53",1005228,12,1,"W:DB@[13, 1]:463",2,5
44,1000164,AS199,196,True,False,1005229,11,6,"W:MB@[12, 1]:17 + W:MB@[12, 2]:0 + W:MB@[12, 3]:71 + W:FB@[12, 4]:21 + W:FB@[12, 5]:14 + W:FB@[12, 6]:73",1005230,13,1,"W@[14, 1]:196",2,5
45,1000164,AS199,489,True,False,1005231,14,7,"W@[15, 1]:56 + W@[15, 2]:55 + W@[15, 3]:219 + DB@[15, 4]:54 + MB@[15, 5]:80 + MB@[15, 6]:25 + <span style=""color:#F80000;"">W:MB@[15, 4, 1]:0</span>",1005232,15,1,"MB@[16, 1]:489",1,6
46,1000164,AS199,587,True,False,1005233,16,6,"MB:FB@[17, 1]:99 + MB:FB@[17, 2]:54 + MB:FB@[17, 3]:67 + W:FB@[17, 4]:232 + W:FB@[17, 5]:64 + B:FB@[17, 6]:71",1005234,17,1,"W:MB@[18, 1]:587",1,5
47,1000164,AS199,127,True,False,1005239,22,6,"W@[23, 1]:30 + W@[23, 2]:12 + W@[23, 3]:8 + MB:D0@[23, 4]:60 + MB:D0@[23, 5]:0 + MB:DB@[23, 6]:17",1005240,23,1,"D0@[24, 1]:127",1,5
48,1000034,AS212,22,False,False,1001739,10,9,"MB@[11, 1]:4 + W:B@[11, 2]:4 + B@[11, 3]:4 + GY@[11, 4]:4 + B@[11, 5]:2 + <span style=""color:#F80000;"">W@[11, 1, 1]:1</span> + <span style=""color:#F80000;"">W@[11, 2, 1]:1</span> + <span style=""color:#F80000;"">W:B@[11, 2, 2]:1</span> + <span style=""color:#F80000;"">GY@[11, 4, 1]:1</span>",1001740,11,10,"W@[12, 1]:5 + MB@[12, 2]:2 + W:B@[12, 3]:2 + B@[12, 4]:2 + GY@[12, 5]:2 + W:B@[12, 6]:1 + <span style=""color:#F80000;"">B@[12, 1, 1]:3</span> + <span style=""color:#F80000;"">W@[12, 2, 1]:2</span> + <span style=""color:#F80000;"">B@[12, 4, 1]:1</span> + <span style=""color:#F80000;"">W:B@[12, 6, 1]:2</span>",1,1
49,1000036,AS214,43,False,False,1001791,0,2,"LB@[1, 1]:30 + W@[1, 2]:13",1001792,1,6,"LB:TG@[2, 1]:10 + LB@[2, 2]:16 + W:LB@[2, 3]:4 + W@[2, 4]:5 + W@[2, 5]:5 + W@[2, 6]:3",1,4
