,khipu_id,name,num_cluster_sum_bands,total_clusters
356,1000084,UR1127,0,2
357,1000292,UR113,2,31
358,1000087,UR1130,0,2
359,1000089,UR1131,0,18
360,1000093,UR1135,0,3
361,1000094,UR1136,0,21
362,1000113,UR1138,0,5
363,1000287,UR114,2,16
364,1000115,UR1140,0,20
365,1000116,UR1141,0,10
366,1000118,UR1143,0,9
367,1000119,UR1144,0,17
368,1000120,UR1145,0,9
369,1000121,UR1146,1,5
370,1000122,UR1147,0,9
371,1000123,UR1148,0,10
372,1000124,UR1149,0,25
373,1000125,UR1150,0,4
374,1000126,UR1151,1,4
375,1000127,UR1152,0,24
376,1000129,UR1154,0,2
377,1000134,UR1161,1,1
378,1000135,UR1162A,0,4
379,1000136,UR1162B,0,1
380,1000137,UR1163,0,4
381,1000139,UR1165,0,6
382,1000140,UR1166,0,21
383,1000141,UR1167,0,1
384,1000285,UR116A,0,8
385,1000283,UR116B,0,2
386,1000147,UR1175,0,45
387,1000148,UR1176,0,26
388,1000151,UR1179,0,10
389,1000288,UR117A,0,7
390,1000289,UR117B,0,4
391,1000290,UR117C,0,6
392,1000291,UR117D,0,6
393,1000293,UR118,0,46
394,1000152,UR1180,0,3
395,1000329,UR119,0,49
396,1000320,UR120,0,8
397,1000322,UR121,0,5
398,1000323,UR122,0,4
399,1000324,UR123,0,8
400,1000325,UR124,0,5
401,1000326,UR125,0,2
402,1000328,UR127,1,4
403,1000377,UR128,0,6
404,1000378,UR129,0,2
405,1000316,UR130,0,7
406,1000300,UR131A,0,9
407,1000301,UR131B,0,12
408,1000302,UR131C,0,10
409,1000317,UR132,0,1
410,1000452,UR134,0,1
411,1000389,UR135,0,2
412,1000388,UR136,0,2
413,1000387,UR137,0,3
414,1000386,UR138,0,4
415,1000407,UR139,0,7
416,1000408,UR140,2,4
417,1000409,UR141,0,6
418,1000406,UR142,0,1
419,1000401,UR143,0,2
420,1000415,UR145,0,28
421,1000418,UR146,0,22
422,1000400,UR147,0,11
423,1000414,UR148,0,3
424,1000413,UR149,0,33
425,1000405,UR150,0,2
426,1000404,UR151,0,2
427,1000402,UR152,0,9
428,1000403,UR153,0,13
429,1000399,UR154,0,2
430,1000410,UR156,0,2
431,1000416,UR157,0,1
432,1000417,UR158,0,15
433,1000411,UR159,0,1
434,1000397,UR160,0,2
435,1000395,UR161,0,2
436,1000393,UR162,0,4
437,1000412,UR164,0,1
438,1000496,UR166,0,12
439,1000475,UR168,0,6
440,1000477,UR169,2,8
441,1000492,UR170,2,7
442,1000478,UR171,0,10
443,1000479,UR172,0,7
444,1000481,UR173,0,4
445,1000480,UR174,0,1
446,1000483,UR175,0,2
447,1000494,UR177,0,1
448,1000485,UR178,0,1
449,1000489,UR179,0,1
450,1000486,UR180,0,1
451,1000482,UR182,0,7
452,1000487,UR183,0,4
453,1000488,UR184,0,8
454,1000490,UR185,0,4
455,1000497,UR186,0,17
456,1000495,UR187,0,6
457,1000499,UR188,0,18
458,1000500,UR189,0,6
459,1000502,UR191,0,3
460,1000503,UR192,0,7
461,1000505,UR194,0,4
462,1000506,UR195,2,44
463,1000507,UR196,0,9
464,1000508,UR197,1,21
465,1000509,UR198,2,40
466,1000510,UR199,0,28
467,1000511,UR200,0,14
468,1000512,UR201,0,18
469,1000513,UR202,0,9
470,1000514,UR203,0,12
471,1000515,UR204,0,16
472,1000516,UR205,0,9
473,1000517,UR206,0,1
474,1000518,UR207,0,11
475,1000519,UR208,1,32
476,1000520,UR209,0,10
477,1000521,UR210,0,7
478,1000522,UR211,3,19
479,1000523,UR212,0,16
480,1000524,UR213,0,9
481,1000525,UR214,0,6
482,1000526,UR215,0,3
483,1000527,UR216,0,2
484,1000528,UR217,0,5
485,1000529,UR218,0,5
486,1000530,UR219,1,4
487,1000531,UR220,0,2
488,1000533,UR222,0,10
489,1000534,UR223,0,9
490,1000535,UR225,0,2
491,1000536,UR226,0,13
492,1000537,UR227,0,13
493,1000538,UR228,0,39
494,1000539,UR229,0,18
495,1000540,UR230,1,7
496,1000541,UR231,0,80
497,1000542,UR232,1,21
498,1000543,UR233,0,24
499,1000544,UR234,0,14
500,1000545,UR235,3,18
501,1000551,UR237,0,13
502,1000552,UR238,0,6
503,1000553,UR239,0,4
504,1000554,UR240,0,9
505,1000549,UR241,0,10
506,1000547,UR242,2,20
507,1000548,UR243,0,10
508,1000555,UR244,1,11
509,1000550,UR245,1,2
510,1000556,UR246,0,8
511,1000558,UR247,0,4
512,1000559,UR248,0,6
513,1000560,UR249,0,4
514,1000561,UR250,1,4
515,1000589,UR251,0,4
516,1000590,UR252,0,6
517,1000592,UR254,1,4
518,1000597,UR255,2,29
519,1000598,UR256,0,24
520,1000595,UR257,0,3
521,1000599,UR258,0,6
522,1000600,UR259,0,1
523,1000601,UR260,0,2
524,1000602,UR261,0,2
525,1000603,UR262,0,9
526,1000604,UR263,1,60
527,1000605,UR264,0,43
528,1000606,UR265,0,5
529,1000607,UR266,1,36
530,1000608,UR267A,0,29
531,1000609,UR267B,0,26
532,1000610,UR268,0,33
533,1000611,UR269,0,107
534,1000612,UR270,1,25
535,1000613,UR271,1,4
536,1000614,UR272,2,26
537,1000615,UR273A,0,34
538,1000616,UR273B,0,32
539,1000617,UR274A,0,31
540,1000618,UR274B,0,33
541,1000619,UR275,0,26
542,1000620,UR276,0,1
543,1000622,UR277,0,19
544,1000623,UR278,0,37
545,1000621,UR279,0,1
546,1000649,UR282,1,5
547,1000650,UR283,0,16
548,1000651,UR284,1,6
549,1000652,UR285,1,1
550,1000653,UR286,0,1
551,1000654,UR287,0,5
552,1000655,UR288,0,2
553,1000656,UR289,0,6
554,1000657,UR290,0,2
555,1000658,UR291A,2,15
556,1000660,UR293,0,1
557,1000661,UR294,0,1
558,6000000,AS001,0,4
559,6000001,AS002,0,2
560,6000002,AS003,0,2
561,6000003,AS004,0,7
562,6000004,AS005,0,11
563,6000005,AS006,0,12
564,6000006,AS007,0,37
565,6000007,AS008,0,46
566,6000008,AS009,0,5
567,6000009,AS072,0,14
568,6000010,HP045,0,10
569,6000011,HP047,0,9
570,6000012,HP048,0,2
571,6000013,HP055,0,31
572,6000014,KH0001,0,4
573,6000015,KH0032,0,5
574,6000016,KH0033,0,10
575,6000017,KH0049,0,7
576,6000018,KH0057,0,33
577,6000019,KH0058,1,10
578,6000020,KH0067,0,2
579,6000021,KH0080,0,16
580,6000022,KH0081,0,36
581,6000023,KH0083,0,60
582,6000024,KH0197,0,17
583,6000025,KH0227,0,16
584,6000026,KH0267,0,6
585,6000027,KH0350,0,4
586,6000028,MM001,2,21
587,6000029,MM002,0,16
588,6000030,MM003,1,8
589,6000031,MM004,0,11
590,6000032,MM005,0,3
591,6000033,MM006/AN001,0,5
592,6000034,MM007/AN002,0,3
593,6000035,MM008,0,2
594,6000036,MM009,0,6
595,6000037,MM010,0,4
596,6000038,MM011,0,4
597,6000039,MM012,0,4
598,6000040,MM013,0,3
599,6000041,MM014,0,4
600,6000042,MM015,0,3
601,6000043,MM016,0,19
602,6000044,MM017,0,9
603,6000045,MM018,0,11
604,6000046,MM019,3,39
605,6000047,MM020,0,20
606,6000048,MM021,1,18
607,6000049,MM1086,0,46
608,6000050,QU001,0,12
609,6000051,QU002,0,10
610,6000052,QU003,0,10
611,6000053,QU004,0,3
612,6000054,QU005,0,2
613,6000055,QU006,0,5
614,6000056,QU007,0,23
615,6000057,QU008,0,2
616,6000058,QU009,0,16
617,6000059,QU010,0,2
618,6000060,QU011,0,22
619,6000061,QU012,0,13
620,6000062,QU013,2,31
621,6000063,QU014,0,46
622,6000064,QU015,0,30
623,6000065,QU016,0,17
624,6000066,QU017,0,10
625,6000067,QU018,0,8
626,6000068,QU019,2,30
627,6000069,QU020,0,3
628,6000070,QU021,0,21
629,6000071,QU022,0,6
630,6000072,UR001,0,48
631,6000073,UR004,5,73
632,6000074,UR017,0,27
633,6000075,UR039,0,91
634,6000077,UR050,0,164
635,6000078,UR052,0,98
636,6000079,UR054,0,115
637,6000080,UR055,0,180
638,6000081,UR110,0,89
639,6000082,UR112,0,76
640,6000083,UR144,0,96
641,6000084,UR155,1,4
642,6000085,UR165,0,18
643,6000086,UR167,0,4
644,6000087,UR190,2,22
645,6000088,UR193,0,6
646,6000089,UR221,0,2
647,6000090,UR253,0,12
648,6000091,UR280,0,6
649,6000092,UR292A,0,9
