,khipu_id,name,num_sum_clusters,num_sum_cords,num_left_sums,num_right_sums,max_indexed_cluster_cords,min_sum,max_sum,mean_sum,handedness
203,1000332,UR045,11,19,12,7,3,7,21,11.368421052631579,-17.263157894736842
204,1000241,UR046,0,0,0,0,0,0,0,0,0.0
205,1000240,UR047,0,0,0,0,0,0,0,0,0.0
206,1000239,UR048,5,5,2,3,1,6,25,14.2,11.6
207,1000238,UR049,0,0,0,0,0,0,0,0,0.0
208,1000375,UR051,4,6,0,6,2,11,17,13.333333333333334,33.166666666666664
209,1000265,UR053A,0,0,0,0,0,0,0,0,0.0
210,1000266,UR053B,0,0,0,0,0,0,0,0,0.0
211,1000267,UR053C,0,0,0,0,0,0,0,0,0.0
212,1000268,UR053D,0,0,0,0,0,0,0,0,0.0
213,1000269,UR053E,0,0,0,0,0,0,0,0,0.0
214,1000295,UR056A,0,0,0,0,0,0,0,0,0.0
215,1000296,UR056B,1,1,1,0,1,11,11,11,-9.0
216,1000297,UR056C,0,0,0,0,0,0,0,0,0.0
217,1000309,UR057,0,0,0,0,0,0,0,0,0.0
218,1000298,UR058A,0,0,0,0,0,0,0,0,0.0
219,1000299,UR058B,0,0,0,0,0,0,0,0,0.0
220,1000390,UR059,1,1,0,1,1,7,7,7,107.0
221,1000264,UR060,0,0,0,0,0,0,0,0,0.0
222,1000246,UR061,2,3,2,1,2,6,74,38.666666666666664,-9.333333333333334
223,1000243,UR062,0,0,0,0,0,0,0,0,0.0
224,1000259,UR063,1,1,0,1,1,7,7,7,45.0
225,1000263,UR064,1,1,1,0,1,8,8,8,-28.0
226,1000242,UR065,0,0,0,0,0,0,0,0,0.0
227,1000261,UR066,1,1,1,0,1,12,12,12,-6.0
228,1000260,UR067,0,0,0,0,0,0,0,0,0.0
229,1000262,UR068,2,2,1,1,1,6,44,25,-10.0
230,1000245,UR069,0,0,0,0,0,0,0,0,0.0
231,1000247,UR070,0,0,0,0,0,0,0,0,0.0
232,1000248,UR071,0,0,0,0,0,0,0,0,0.0
233,1000249,UR072,6,9,2,7,2,6,22,11,5.555555555555555
234,1000250,UR073,0,0,0,0,0,0,0,0,0.0
235,1000251,UR074,1,1,1,0,1,34,34,34,-46.0
236,1000252,UR075,0,0,0,0,0,0,0,0,0.0
237,1000253,UR076,1,2,2,0,2,7,9,8,-17.0
238,1000244,UR077,0,0,0,0,0,0,0,0,0.0
239,1000254,UR078,0,0,0,0,0,0,0,0,0.0
240,1000255,UR079,1,1,1,0,1,6,6,6,-9.0
241,1000256,UR080,1,1,0,1,1,23,23,23,7.0
242,1000257,UR081,0,0,0,0,0,0,0,0,0.0
243,1000258,UR082,0,0,0,0,0,0,0,0,0.0
244,1000319,UR084,0,0,0,0,0,0,0,0,0.0
245,1000280,UR085,1,2,0,2,2,231,282,256.5,67.5
246,1000336,UR086,13,16,5,11,2,6,63,19.875,13.5625
247,1000273,UR087,7,13,7,6,3,7,22,15.153846153846153,-38.61538461538461
248,1000274,UR090,1,1,0,1,1,16,16,16,44.0
249,1000271,UR091,0,0,0,0,0,0,0,0,0.0
250,1000272,UR092,0,0,0,0,0,0,0,0,0.0
251,1000321,UR093,4,6,4,2,3,6,15,8.166666666666666,-34.166666666666664
252,1000337,UR094,0,0,0,0,0,0,0,0,0.0
253,1000338,UR095,0,0,0,0,0,0,0,0,0.0
254,1000339,UR096,0,0,0,0,0,0,0,0,0.0
255,1000340,UR097,1,2,2,0,2,7,12,9.5,-40.0
256,1000347,UR098,0,0,0,0,0,0,0,0,0.0
257,1000348,UR099,0,0,0,0,0,0,0,0,0.0
258,1000349,UR100,0,0,0,0,0,0,0,0,0.0
259,1000350,UR101,0,0,0,0,0,0,0,0,0.0
260,1000351,UR102,5,6,4,2,2,6,39,11.833333333333334,-14.5
261,1000352,UR103,0,0,0,0,0,0,0,0,0.0
262,1000103,UR1032,0,0,0,0,0,0,0,0,0.0
263,1000105,UR1033A,0,0,0,0,0,0,0,0,0.0
264,1000106,UR1033B,1,1,0,1,1,6,6,6,8.0
265,1000107,UR1033C,0,0,0,0,0,0,0,0,0.0
266,1000108,UR1033D,2,2,0,2,1,6,16,11,6.0
267,1000109,UR1033E,0,0,0,0,0,0,0,0,0.0
268,1000110,UR1033F,0,0,0,0,0,0,0,0,0.0
269,1000111,UR1033G,0,0,0,0,0,0,0,0,0.0
270,1000333,UR1034,8,12,9,3,3,6,130,31,-30.416666666666668
271,1000353,UR104,0,0,0,0,0,0,0,0,0.0
272,1000208,UR1040,0,0,0,0,0,0,0,0,0.0
273,1000230,UR1049,0,0,0,0,0,0,0,0,0.0
274,1000354,UR105,0,0,0,0,0,0,0,0,0.0
275,1000214,UR1051,2,2,1,1,1,15,15,15,0.0
276,1000170,UR1052,0,0,0,0,0,0,0,0,0.0
277,1000169,UR1053,0,0,0,0,0,0,0,0,0.0
278,1000183,UR1057,4,9,5,4,4,6,104,30.88888888888889,24.88888888888889
279,1000176,UR1058,0,0,0,0,0,0,0,0,0.0
280,1000355,UR106,0,0,0,0,0,0,0,0,0.0
281,1000356,UR107,0,0,0,0,0,0,0,0,0.0
282,1000357,UR108,0,0,0,0,0,0,0,0,0.0
283,1000344,UR1084,16,23,14,9,3,21,66,51.869565217391305,-6.391304347826087
284,1000310,UR1087,0,0,0,0,0,0,0,0,0.0
285,1000313,UR1088,3,9,0,9,4,9,110,28.444444444444443,34.22222222222222
286,1000358,UR109,0,0,0,0,0,0,0,0,0.0
287,1000312,UR1091,6,12,5,7,3,7,116,19.75,4.166666666666667
288,1000314,UR1095,3,4,2,2,2,6,19,11.75,-12.5
289,1000315,UR1096,5,6,2,4,2,8,29,15,13.666666666666666
290,1000039,UR1097,0,0,0,0,0,0,0,0,0.0
291,1000040,UR1098,2,2,0,2,1,13,110,61.5,23.0
292,1000041,UR1099,0,0,0,0,0,0,0,0,0.0
293,1000042,UR1100,3,7,2,5,4,6,13,9.142857142857142,10.428571428571429
294,1000046,UR1102,0,0,0,0,0,0,0,0,0.0
295,1000047,UR1103,0,0,0,0,0,0,0,0,0.0
296,1000048,UR1104,0,0,0,0,0,0,0,0,0.0
297,1000049,UR1105,0,0,0,0,0,0,0,0,0.0
298,1000050,UR1106,1,1,0,1,1,35,35,35,24.0
299,1000051,UR1107,0,0,0,0,0,0,0,0,0.0
300,1000052,UR1108,0,0,0,0,0,0,0,0,0.0
301,1000053,UR1109,23,26,22,4,2,110,330,156.6153846153846,-68.65384615384616
302,1000359,UR111,0,0,0,0,0,0,0,0,0.0
303,1000057,UR1113,1,1,1,0,1,44,44,44,-30.0
304,1000063,UR1114,0,0,0,0,0,0,0,0,0.0
305,1000072,UR1116,0,0,0,0,0,0,0,0,0.0
306,1000073,UR1117,0,0,0,0,0,0,0,0,0.0
307,1000074,UR1118,0,0,0,0,0,0,0,0,0.0
308,1000075,UR1119,0,0,0,0,0,0,0,0,0.0
309,1000076,UR1120,1,7,0,7,7,1068,43372,20598.714285714286,16.0
310,1000077,UR1121,1,1,1,0,1,15,15,15,-79.0
311,1000079,UR1123,0,0,0,0,0,0,0,0,0.0
312,1000080,UR1124,1,1,1,0,1,16,16,16,-20.0
313,1000081,UR1124 Detail 1,0,0,0,0,0,0,0,0,0.0
314,1000083,UR1126,1,1,1,0,1,153,153,153,-59.0
315,1000084,UR1127,0,0,0,0,0,0,0,0,0.0
316,1000292,UR113,16,38,18,20,5,6,220,48,17.342105263157894
317,1000087,UR1130,0,0,0,0,0,0,0,0,0.0
318,1000089,UR1131,5,7,4,3,2,48,192,75.42857142857143,1.4285714285714286
319,1000093,UR1135,0,0,0,0,0,0,0,0,0.0
320,1000094,UR1136,15,24,14,10,3,12,67,35.416666666666664,-4.458333333333333
321,1000113,UR1138,0,0,0,0,0,0,0,0,0.0
322,1000287,UR114,6,8,4,4,3,6,11,7.25,14.625
323,1000115,UR1140,18,45,21,24,6,7,95,25.644444444444446,3.6222222222222222
