,khipu_id,name,cord_id,cord_name,cord_position,cord_position_index,cord_value,num_summands,sum_string,handedness
86,1000147,UR1175,3015398,p136s1,"LB@[27, 1, 0]:20",1,20,2,"LB@[29, 1, 0]:10+LB@[30, 1, 1]:10",13
87,1000148,UR1176,3015696,p24s2,"B@[2, 3, 1]:7",3,7,2,"B@[4, 3, 0]:6+B@[13, 3, 0]:1",53
88,1000293,UR118,3025015,p62s2,"W:AB@[17, 2, 1]:8",2,8,2,"W:AB@[9, 2, 1]:1+W:AB@[10, 2, 3]:7",-25
89,1000293,UR118,3025031,p83s3,"W:AB@[22, 2, 2]:14",2,14,2,"W:AB@[10, 2, 3]:7+W:AB@[15, 2, 0]:7",-35
90,1000293,UR118,3025066,p127s2,"W:AB@[34, 2, 1]:11",2,11,2,"W:AB@[17, 2, 1]:8+W:AB@[20, 2, 2]:3",-58
91,1000293,UR118,3025092,p155s1,"W:KB@[43, 2, 0]:11",2,11,2,"W:KB@[10, 2, 1]:9+W:KB@[17, 2, 2]:2",-104
92,1000293,UR118,3024949,p5s2,"W:KB@[1, 3, 1]:9",3,9,2,"W:KB@[27, 3, 1]:7+W:KB@[39, 3, 2]:2",115
93,1000293,UR118,3024996,p41s2,"W:KB@[10, 2, 1]:9",2,9,2,"W:KB@[31, 2, 2]:4+W:KB@[37, 2, 1]:5",82
94,1000293,UR118,3025031,p83s3,"W:AB@[22, 2, 2]:14",2,14,2,"W:AB@[25, 2, 1]:7+W:AB@[29, 2, 1]:7",15
95,1000329,UR119,3028929,p63s1,"AB@[17, 3, 0]:14",3,14,2,"AB@[9, 3, 0]:12+AB@[15, 3, 0]:2",-18
96,1000329,UR119,3028947,p89s2,"HB@[24, 1, 1]:135",1,135,4,"HB@[9, 1, 0]:47+HB@[15, 1, 0]:32+HB@[17, 1, 0]:29+HB@[19, 1, 0]:26",-36
97,1000329,UR119,3029012,p142s1,"W:AB@[40, 2, 0]:51",2,51,3,"W:AB@[19, 2, 0]:19+W:AB@[23, 2, 1]:8+W:AB@[31, 2, 0]:24",-54
98,1000329,UR119,3029024,p163s3,"W:KB@[46, 2, 2]:5",2,5,2,"W:KB@[24, 2, 1]:3+W:KB@[27, 2, 3]:2",-70
99,1000329,UR119,3028910,p11s2,"W:KB@[3, 2, 1]:15",2,15,2,"W:KB@[27, 2, 3]:2+W:KB@[31, 2, 1]:13",94
100,1000329,UR119,3028911,p11s3,"W:AB@[3, 2, 2]:51",2,51,3,"W:AB@[19, 2, 0]:19+W:AB@[23, 2, 1]:8+W:AB@[31, 2, 0]:24",77
101,1000329,UR119,3028915,p18s1,"W:AB@[5, 2, 0]:27",2,27,2,"W:AB@[19, 2, 0]:19+W:AB@[23, 2, 1]:8",58
102,1000329,UR119,3028919,p31s1,"HB@[9, 1, 0]:47",1,47,2,"HB@[19, 1, 0]:26+HB@[23, 1, 0]:21",44
