,name,num_sum_cords,num_summand_cords,num_summation_cords,num_nonzero_pendants,ratio_sums_to_pendants
66,AS214,4,10,13,20,65
67,AS215,6,18,20,28,71
68,HP003,15,35,48,61,79
69,HP004,1,3,4,13,31
70,HP005,2,11,12,16,75
71,HP011,1,6,7,20,35
72,HP014,9,45,50,40,125
73,HP017,14,36,46,79,58
74,HP018,7,19,22,24,92
75,HP020,1,7,8,22,36
76,HP022,3,5,7,18,39
77,HP027,1,2,3,43,7
78,HP029,3,12,15,43,35
79,HP030,10,28,37,102,36
80,HP032,1,5,6,10,60
81,HP033,3,15,17,23,74
82,HP034,12,37,45,56,80
83,HP037,3,9,11,26,42
84,HP039,21,64,73,76,96
85,HP040,1,4,5,19,26
86,HP043,1,3,4,10,40
87,HP044,1,6,7,12,58
88,HP046 A,2,18,19,29,66
89,HP046 B,5,42,45,33,136
90,HP050,1,2,3,18,17
91,HP051 A,6,21,25,27,93
92,HP051 B,3,22,25,34,74
93,HP052,14,18,28,34,82
94,HP053,7,11,15,26,58
95,HP054,3,10,12,13,92
96,HP056,58,113,148,155,95
97,HP057,2,9,11,21,52
98,JC001,7,20,25,36,69
99,JC005,41,123,131,99,132
100,JC009,19,49,56,70,80
101,JC010,24,93,103,78,132
102,JC011,7,44,51,64,80
103,JC013,12,40,45,45,100
104,UR002,16,31,40,69,58
105,UR003,1,10,11,138,8
106,UR005,17,19,31,36,86
107,UR006,16,113,125,306,41
108,UR009,8,65,69,91,76
109,UR010,69,113,140,142,99
110,UR011,31,75,90,132,68
111,UR012,17,32,40,39,103
112,UR013,4,9,12,16,75
113,UR014,2,4,5,13,38
114,UR015,7,16,22,56,39
115,UR016,54,166,182,163,112
116,UR018,1,3,4,27,15
117,UR020,1,2,3,22,14
118,UR021,8,64,68,119,57
119,UR022,89,201,231,164,141
120,UR026,5,20,23,28,82
121,UR028,3,10,12,57,21
122,UR032,2,5,7,31,23
123,UR034,29,69,77,78,99
124,UR037,11,88,94,146,64
125,UR038,3,9,12,30,40
126,UR041,7,21,24,36,67
127,UR042,2,5,7,21,33
128,UR045,9,44,51,78,65
129,UR047,3,33,35,47,74
130,UR048,5,21,24,40,60
131,UR049,50,179,205,137,150
132,UR051,11,23,33,84,39
133,UR053A,1,2,3,49,6
134,UR053B,6,12,16,36,44
135,UR053C,13,34,41,61,67
136,UR053D,20,38,51,72,71
137,UR053E,28,55,65,70,93
138,UR056A,5,17,21,24,88
139,UR056B,10,21,27,29,93
140,UR056C,5,15,17,17,100
141,UR057,2,11,13,21,62
142,UR059,20,103,111,97,114
143,UR060,1,19,20,83,24
144,UR061,5,11,15,31,48
145,UR062,3,6,9,21,43
146,UR063,7,34,38,57,67
147,UR064,8,33,38,47,81
148,UR066,1,2,3,19,16
149,UR067,2,15,17,18,94
