,khipu_id,name,num_sum_cords,num_left_sums,num_right_sums,max_indexed_subsidiary_cords,min_sum,max_sum,mean_sum,handedness
232,1000304,UR028,2,0,2,9,14,24,19,62.5
233,1000305,UR029,0,0,0,0,0,0,0,0
234,1000330,UR032,0,0,0,0,0,0,0,0
235,1000276,UR033,0,0,0,0,0,0,0,0
236,1000380,UR034,15,7,8,13,11,224,42,-1.4666666666666666
237,1000331,UR037,0,0,0,0,0,0,0,0
238,1000277,UR038,0,0,0,0,0,0,0,0
239,1000098,UR040,0,0,0,0,0,0,0,0
240,1000099,UR041,0,0,0,0,0,0,0,0
241,1000100,UR042,0,0,0,0,0,0,0,0
242,1000332,UR045,0,0,0,0,0,0,0,0
243,1000241,UR046,0,0,0,0,0,0,0,0
244,1000240,UR047,0,0,0,0,0,0,0,0
245,1000239,UR048,2,1,1,7,48,48,48,3.5
246,1000238,UR049,8,5,3,13,25,552,186,-15.625
247,1000375,UR051,0,0,0,0,0,0,0,0
248,1000265,UR053A,0,0,0,0,0,0,0,0
249,1000266,UR053B,0,0,0,0,0,0,0,0
250,1000267,UR053C,0,0,0,0,0,0,0,0
251,1000268,UR053D,0,0,0,0,0,0,0,0
252,1000269,UR053E,4,2,2,5,14,36,23,2.25
253,1000295,UR056A,1,1,0,3,15,15,15,-18
254,1000296,UR056B,0,0,0,0,0,0,0,0
255,1000297,UR056C,0,0,0,0,0,0,0,0
256,1000309,UR057,0,0,0,0,0,0,0,0
257,1000298,UR058A,0,0,0,0,0,0,0,0
258,1000299,UR058B,1,0,1,6,11,11,11,28
259,1000390,UR059,1,0,1,3,12,12,12,14
260,1000264,UR060,0,0,0,0,0,0,0,0
261,1000246,UR061,0,0,0,0,0,0,0,0
262,1000243,UR062,0,0,0,0,0,0,0,0
263,1000259,UR063,0,0,0,0,0,0,0,0
264,1000263,UR064,0,0,0,0,0,0,0,0
265,1000242,UR065,0,0,0,0,0,0,0,0
