,khipu_id,name,num_sum_clusters,min_sum,max_sum,mean_sum
317,1000170,UR1052,0,0,0,0
318,1000169,UR1053,0,0,0,0
319,1000183,UR1057,0,0,0,0
320,1000176,UR1058,0,0,0,0
321,1000355,UR106,0,0,0,0
322,1000356,UR107,0,0,0,0
323,1000357,UR108,0,0,0,0
324,1000344,UR1084,2,1493,1688,1590
325,1000310,UR1087,0,0,0,0
326,1000313,UR1088,0,0,0,0
327,1000358,UR109,0,0,0,0
328,1000312,UR1091,0,0,0,0
329,1000314,UR1095,0,0,0,0
330,1000315,UR1096,1,45,45,45
331,1000039,UR1097,0,0,0,0
332,1000040,UR1098,0,0,0,0
333,1000041,UR1099,0,0,0,0
334,1000042,UR1100,1,624,624,624
335,1000046,UR1102,0,0,0,0
336,1000047,UR1103,0,0,0,0
337,1000048,UR1104,0,0,0,0
338,1000049,UR1105,0,0,0,0
339,1000050,UR1106,0,0,0,0
340,1000051,UR1107,0,0,0,0
341,1000052,UR1108,0,0,0,0
342,1000053,UR1109,11,202,682,435
343,1000359,UR111,0,0,0,0
344,1000057,UR1113,0,0,0,0
345,1000063,UR1114,0,0,0,0
346,1000072,UR1116,0,0,0,0
347,1000073,UR1117,0,0,0,0
348,1000074,UR1118,0,0,0,0
349,1000075,UR1119,0,0,0,0
350,1000076,UR1120,0,0,0,0
351,1000077,UR1121,0,0,0,0
352,1000079,UR1123,0,0,0,0
353,1000080,UR1124,0,0,0,0
354,1000081,UR1124 Detail 1,0,0,0,0
355,1000083,UR1126,2,150,170,160
356,1000084,UR1127,1,175,175,175
357,1000292,UR113,1,38,38,38
358,1000087,UR1130,1,63,63,63
359,1000089,UR1131,0,0,0,0
360,1000093,UR1135,0,0,0,0
361,1000094,UR1136,1,227,227,227
362,1000113,UR1138,0,0,0,0
363,1000287,UR114,1,31,31,31
364,1000115,UR1140,0,0,0,0
365,1000116,UR1141,3,44,44,44
366,1000118,UR1143,0,0,0,0
367,1000119,UR1144,0,0,0,0
368,1000120,UR1145,0,0,0,0
369,1000121,UR1146,0,0,0,0
370,1000122,UR1147,0,0,0,0
371,1000123,UR1148,0,0,0,0
372,1000124,UR1149,2,6330,6330,6330
373,1000125,UR1150,0,0,0,0
374,1000126,UR1151,0,0,0,0
375,1000127,UR1152,0,0,0,0
376,1000129,UR1154,0,0,0,0
377,1000134,UR1161,0,0,0,0
378,1000135,UR1162A,0,0,0,0
379,1000136,UR1162B,0,0,0,0
380,1000137,UR1163,1,105,105,105
381,1000139,UR1165,1,46,46,46
382,1000140,UR1166,0,0,0,0
383,1000141,UR1167,0,0,0,0
384,1000285,UR116A,0,0,0,0
385,1000283,UR116B,0,0,0,0
386,1000147,UR1175,1,171,171,171
387,1000148,UR1176,1,161,161,161
388,1000151,UR1179,0,0,0,0
389,1000288,UR117A,0,0,0,0
390,1000289,UR117B,0,0,0,0
391,1000290,UR117C,0,0,0,0
392,1000291,UR117D,0,0,0,0
393,1000293,UR118,2,497,530,513
394,1000152,UR1180,0,0,0,0
395,1000329,UR119,0,0,0,0
396,1000320,UR120,0,0,0,0
397,1000322,UR121,0,0,0,0
398,1000323,UR122,0,0,0,0
399,1000324,UR123,0,0,0,0
400,1000325,UR124,0,0,0,0
401,1000326,UR125,0,0,0,0
402,1000328,UR127,0,0,0,0
403,1000377,UR128,0,0,0,0
404,1000378,UR129,0,0,0,0
405,1000316,UR130,0,0,0,0
406,1000300,UR131A,0,0,0,0
407,1000301,UR131B,0,0,0,0
408,1000302,UR131C,0,0,0,0
409,1000317,UR132,0,0,0,0
410,1000452,UR134,0,0,0,0
411,1000389,UR135,0,0,0,0
412,1000388,UR136,0,0,0,0
