,id,name,has_decreasing_clusters,num_decreasing_clusters,moment,decreasing_cluster_indices,mean
283,1000319,UR084,False,0,0.0,,0
284,1000280,UR085,False,0,0.0,,0
285,1000336,UR086,False,0,0.0,,0
286,1000273,UR087,False,0,0.0,,0
287,1000270,UR088,False,0,0.0,,0
288,1000275,UR089,False,0,0.0,,0
289,1000274,UR090,False,0,0.0,,0
290,1000271,UR091,False,0,0.0,,0
291,1000272,UR092,False,0,0.0,,0
292,1000321,UR093,False,0,0.0,,0
293,1000337,UR094,False,0,0.0,,0
294,1000338,UR095,False,0,0.0,,0
295,1000339,UR096,False,0,0.0,,0
296,1000340,UR097,False,0,0.0,,0
297,1000347,UR098,False,0,0.0,,0
298,1000348,UR099,False,0,0.0,,0
299,1000349,UR100,False,0,0.0,,0
300,1000350,UR101,False,0,0.0,,0
301,1000351,UR102,False,0,0.0,,0
302,1000352,UR103,False,0,0.0,,0
303,1000103,UR1032,False,0,0.0,,0
304,1000105,UR1033A,False,0,0.0,,0
305,1000106,UR1033B,False,0,0.0,,0
306,1000107,UR1033C,False,0,0.0,,0
307,1000108,UR1033D,False,0,0.0,,0
308,1000109,UR1033E,False,0,0.0,,0
309,1000110,UR1033F,False,0,0.0,,0
310,1000111,UR1033G,False,0,0.0,,0
311,1000333,UR1034,True,1,-6.0,2,2.0
312,1000353,UR104,False,0,0.0,,0
313,1000208,UR1040,False,0,0.0,,0
314,1000230,UR1049,False,0,0.0,,0
315,1000354,UR105,False,0,0.0,,0
316,1000214,UR1051,False,0,0.0,,0
317,1000170,UR1052,False,0,0.0,,0
318,1000169,UR1053,False,0,0.0,,0
319,1000183,UR1057,False,0,0.0,,0
320,1000176,UR1058,True,2,3.0,"5, 8",1.0
321,1000355,UR106,False,0,0.0,,0
322,1000356,UR107,False,0,0.0,,0
323,1000357,UR108,False,0,0.0,,0
324,1000344,UR1084,False,0,0.0,,0
325,1000310,UR1087,False,0,0.0,,0
326,1000313,UR1088,True,3,-1.167,"3, 8, 20",3.0
327,1000358,UR109,False,0,0.0,,0
328,1000312,UR1091,False,0,0.0,,0
329,1000314,UR1095,False,0,0.0,,0
330,1000315,UR1096,False,0,0.0,,0
331,1000039,UR1097,False,0,0.0,,0
332,1000040,UR1098,False,0,0.0,,0
333,1000041,UR1099,False,0,0.0,,0
334,1000042,UR1100,True,1,-1.5,2,9.0
335,1000046,UR1102,False,0,0.0,,0
336,1000047,UR1103,False,0,0.0,,0
337,1000048,UR1104,False,0,0.0,,0
338,1000049,UR1105,True,2,0.5,"0, 1",23.5
339,1000050,UR1106,True,1,-0.5,4,9.0
340,1000051,UR1107,False,0,0.0,,0
341,1000052,UR1108,False,0,0.0,,0
342,1000053,UR1109,False,0,0.0,,0
343,1000359,UR111,False,0,0.0,,0
344,1000057,UR1113,True,4,-0.75,"3, 7, 8, 9",51.0
345,1000063,UR1114,False,0,0.0,,0
346,1000072,UR1116,False,0,0.0,,0
347,1000073,UR1117,False,0,0.0,,0
348,1000074,UR1118,False,0,0.0,,0
349,1000075,UR1119,False,0,0.0,,0
350,1000076,UR1120,False,0,0.0,,0
351,1000077,UR1121,False,0,0.0,,0
352,1000079,UR1123,False,0,0.0,,0
353,1000080,UR1124,False,0,0.0,,0
354,1000081,UR1124 Detail 1,False,0,0.0,,0
355,1000083,UR1126,False,0,0.0,,0
356,1000084,UR1127,False,0,0.0,,0
357,1000292,UR113,True,5,-5.3,"2, 4, 11, 13, 16",39.4
358,1000087,UR1130,False,0,0.0,,0
359,1000089,UR1131,False,0,0.0,,0
360,1000093,UR1135,False,0,0.0,,0
361,1000094,UR1136,False,0,0.0,,0
362,1000113,UR1138,False,0,0.0,,0
363,1000287,UR114,False,0,0.0,,0
364,1000115,UR1140,False,0,0.0,,0
365,1000116,UR1141,False,0,0.0,,0
366,1000118,UR1143,False,0,0.0,,0
367,1000119,UR1144,False,0,0.0,,0
368,1000120,UR1145,False,0,0.0,,0
369,1000121,UR1146,False,0,0.0,,0
370,1000122,UR1147,False,0,0.0,,0
371,1000123,UR1148,False,0,0.0,,0
372,1000124,UR1149,False,0,0.0,,0
373,1000125,UR1150,False,0,0.0,,0
374,1000126,UR1151,True,1,0.0,1,6.0
375,1000127,UR1152,True,1,-1.0,10,60.0
376,1000129,UR1154,False,0,0.0,,0
377,1000134,UR1161,False,0,0.0,,0
378,1000135,UR1162A,False,0,0.0,,0
379,1000136,UR1162B,False,0,0.0,,0
380,1000137,UR1163,True,2,1.5,"2, 3",6.0
381,1000139,UR1165,False,0,0.0,,0
382,1000140,UR1166,False,0,0.0,,0
383,1000141,UR1167,False,0,0.0,,0
384,1000285,UR116A,False,0,0.0,,0
385,1000283,UR116B,False,0,0.0,,0
386,1000147,UR1175,True,2,14.5,"30, 42",12.0
387,1000148,UR1176,False,0,0.0,,0
388,1000151,UR1179,False,0,0.0,,0
389,1000288,UR117A,False,0,0.0,,0
390,1000289,UR117B,True,1,1.0,2,3.0
391,1000290,UR117C,False,0,0.0,,0
392,1000291,UR117D,False,0,0.0,,0
393,1000293,UR118,False,0,0.0,,0
394,1000152,UR1180,False,0,0.0,,0
395,1000329,UR119,False,0,0.0,,0
396,1000320,UR120,False,0,0.0,,0
397,1000322,UR121,False,0,0.0,,0
398,1000323,UR122,False,0,0.0,,0
399,1000324,UR123,False,0,0.0,,0
400,1000325,UR124,False,0,0.0,,0
401,1000326,UR125,False,0,0.0,,0
402,1000328,UR127,False,0,0.0,,0
403,1000377,UR128,True,2,-1.0,"0, 2",12.5
404,1000378,UR129,False,0,0.0,,0
405,1000316,UR130,False,0,0.0,,0
406,1000300,UR131A,False,0,0.0,,0
407,1000301,UR131B,False,0,0.0,,0
408,1000302,UR131C,False,0,0.0,,0
409,1000317,UR132,False,0,0.0,,0
410,1000452,UR134,False,0,0.0,,0
411,1000389,UR135,False,0,0.0,,0
412,1000388,UR136,False,0,0.0,,0
413,1000387,UR137,False,0,0.0,,0
414,1000386,UR138,False,0,0.0,,0
415,1000407,UR139,False,0,0.0,,0
416,1000408,UR140,False,0,0.0,,0
417,1000409,UR141,False,0,0.0,,0
418,1000406,UR142,False,0,0.0,,0
419,1000401,UR143,False,0,0.0,,0
420,1000415,UR145,False,0,0.0,,0
421,1000418,UR146,False,0,0.0,,0
422,1000400,UR147,False,0,0.0,,0
423,1000414,UR148,False,0,0.0,,0
424,1000413,UR149,False,0,0.0,,0
425,1000405,UR150,False,0,0.0,,0
426,1000404,UR151,False,0,0.0,,0
427,1000402,UR152,False,0,0.0,,0
428,1000403,UR153,False,0,0.0,,0
429,1000399,UR154,False,0,0.0,,0
430,1000410,UR156,False,0,0.0,,0
431,1000416,UR157,False,0,0.0,,0
432,1000417,UR158,False,0,0.0,,0
433,1000411,UR159,False,0,0.0,,0
434,1000397,UR160,False,0,0.0,,0
435,1000395,UR161,False,0,0.0,,0
436,1000393,UR162,False,0,0.0,,0
437,1000412,UR164,False,0,0.0,,0
438,1000496,UR166,False,0,0.0,,0
439,1000475,UR168,True,2,0.5,"2, 3",14.0
440,1000477,UR169,False,0,0.0,,0
441,1000492,UR170,False,0,0.0,,0
442,1000478,UR171,False,0,0.0,,0
443,1000479,UR172,False,0,0.0,,0
444,1000481,UR173,False,0,0.0,,0
445,1000480,UR174,False,0,0.0,,0
446,1000483,UR175,False,0,0.0,,0
447,1000494,UR177,False,0,0.0,,0
448,1000485,UR178,False,0,0.0,,0
449,1000489,UR179,False,0,0.0,,0
450,1000486,UR180,False,0,0.0,,0
451,1000482,UR182,False,0,0.0,,0
452,1000487,UR183,False,0,0.0,,0
453,1000488,UR184,False,0,0.0,,0
454,1000490,UR185,False,0,0.0,,0
455,1000497,UR186,False,0,0.0,,0
456,1000495,UR187,False,0,0.0,,0
457,1000499,UR188,False,0,0.0,,0
458,1000500,UR189,False,0,0.0,,0
459,1000502,UR191,False,0,0.0,,0
460,1000503,UR192,False,0,0.0,,0
461,1000505,UR194,False,0,0.0,,0
462,1000506,UR195,True,1,17.0,38,1.0
463,1000507,UR196,True,1,-1.5,2,1.0
464,1000508,UR197,False,0,0.0,,0
465,1000509,UR198,False,0,0.0,,0
466,1000510,UR199,False,0,0.0,,0
