,khipu_id,name,cord_id,cord_name,cord_position,cord_position_index,parent_cord_position,cord_value,cord_color,num_summands,sum_string,handedness
186,1000380,UR034,3034307,p12s1,"AB@[7, 4, 0]:22","(4, 0)","AB@[7, 4]:766",22,AB,3,"W@[34, 6]:2 + 0B@[34, 8]:3 + RL@[34, 9]:17",66
187,1000380,UR034,3034319,p25s1,"MB@[13, 2, 0]:18","(2, 0)","W:AB@[13, 2]:15",18,MB,4,"AB@[32, 0]:4 + MB@[32, 1]:3 + RL@[33, 0]:5 + W:0B@[33, 1]:6",40
188,1000380,UR034,3034324,p28s1,"W:AB@[15, 0, 0]:24","(0, 0)","W:AB@[15, 0]:11",24,W:AB,3,"W@[23, 0]:7 + AB@[23, 1]:5 + AB@[23, 2]:12",13
189,1000380,UR034,3034325,p28s2,"AB:GG@[15, 0, 1]:13","(0, 1)","W:AB@[15, 0]:11",13,AB:GG,3,"RL@[33, 0]:5 + W:0B@[33, 1]:6 + LA@[33, 2]:2",39
190,1000380,UR034,3034328,p30s1,"W@[15, 2, 0]:11","(2, 0)","W@[15, 2]:12",11,W,3,"W:MB@[27, 0]:6 + LA@[28, 0]:1 + AB@[28, 1]:4",27
191,1000380,UR034,3034356,p48s1,"W:AB@[24, 3, 0]:73","(3, 0)","AB@[24, 3]:126",73,W:AB,3,"W@[30, 1]:5 + AB@[31, 0]:50 + W@[31, 1]:18",14
192,1000380,UR034,3034372,p59s1,"W:RL@[29, 0, 0]:35","(0, 0)","W:AB@[29, 0]:89",35,W:RL,4,"W@[34, 6]:2 + 0B@[34, 8]:3 + RL@[34, 9]:17 + W:MB@[34, 10]:13",19
193,1000239,UR048,3019578,p22s2,"W:AB@[5, 0, 2]:48","(0, 2)","W:AB@[5, 0]:158",48,W:AB,7,"W:AB@[0, 1]:12 + W:GG@[0, 3]:5 + W:GG@[0, 4]:2 + W:GG@[0, 5]:1 + W:KB@[0, 6]:2 + W:AB@[0, 7]:1 + W:MB@[1, 0]:25",-16
194,1000239,UR048,3019578,p22s2,"W:AB@[5, 0, 2]:48","(0, 2)","W:AB@[5, 0]:158",48,W:AB,4,"MB@[11, 0]:10 + AB@[12, 0]:22 + W:MB@[13, 0]:10 + AB@[13, 1]:6",23
195,1000238,UR049,3019469,p90s1,"W:MB@[15, 8, 0]:133","(8, 0)","MB@[15, 8]:518",133,W:MB,6,"YB@[0, 0]:15 + YB@[0, 1]:10 + YB@[0, 3]:20 + AB@[2, 1]:28 + AB@[3, 0]:40 + AB@[3, 1]:20",-81
196,1000238,UR049,3019470,p91s1,"W-AB@[15, 9, 0]:25","(9, 0)","MB@[15, 9]:538",25,W-AB,3,"MB@[5, 0]:10 + MB@[5, 2]:5 + MB@[5, 4]:10",-71
197,1000238,UR049,3019476,p93s1,"W:AB@[15, 11, 0]:78","(11, 0)","MB@[15, 11]:530",78,W:AB,4,"BL-AB@[6, 0]:44 + BL-AB@[6, 1]:10 + BL-AB@[6, 2]:23 + W@[7, 1]:1",-67
198,1000238,UR049,3019479,p94s2,"W:AB@[15, 12, 1]:34","(12, 1)","MB@[15, 12]:530",34,W:AB,3,"BL-AB@[6, 1]:10 + BL-AB@[6, 2]:23 + W@[7, 1]:1",-67
199,1000238,UR049,3019523,p138s2,"W-AB@[21, 4, 1]:552","(4, 1)","W@[21, 4]:123",552,W-AB,10,"MB@[18, 0]:112 + MB@[18, 1]:125 + MB@[18, 2]:10 + MB@[18, 3]:123 + MB@[18, 4]:74 + HB@[19, 0]:12 + HB@[19, 1]:13 + HB@[19, 2]:20 + AB:MB@[20, 2]:33 + HB@[20, 3]:30",-18
200,1000238,UR049,3019452,p82s2,"W:AB@[15, 0, 1]:36","(0, 1)","AB@[15, 0]:250",36,W:AB,3,"AB@[25, 4]:18 + AB@[25, 5]:12 + W:AB@[25, 6]:6",106
201,1000238,UR049,3019476,p93s1,"W:AB@[15, 11, 0]:78","(11, 0)","MB@[15, 11]:530",78,W:AB,4,"HB@[19, 0]:12 + HB@[19, 1]:13 + HB@[19, 2]:20 + AB:MB@[20, 2]:33",29
202,1000238,UR049,3019523,p138s2,"W-AB@[21, 4, 1]:552","(4, 1)","W@[21, 4]:123",552,W-AB,13,"W:MB@[22, 5]:40 + AB@[22, 13]:10 + W:MB@[24, 1]:20 + W:MB@[24, 3]:10 + W:MB@[24, 4]:15 + W:AB@[25, 0]:36 + W:AB@[25, 1]:24 + W:AB@[25, 2]:24 + W:AB@[25, 3]:15 + AB@[25, 4]:18 + AB@[25, 5]:12 + W:AB@[25, 6]:6 + HB@[25, 7]:322",44
203,1000269,UR053E,3021030,p18s1,"AB@[1, 5, 0]:14","(5, 0)","RL@[1, 5]:10",14,AB,3,"W@[0, 8]:11 + RB@[0, 9]:1 + W@[0, 10]:2",-8
204,1000269,UR053E,3021037,p32s1,"AB@[2, 1, 0]:36","(1, 0)","RB@[2, 1]:15",36,AB,5,"W@[0, 0]:4 + RL@[0, 1]:1 + W@[0, 2]:10 + RB@[0, 3]:1 + W@[0, 4]:20",-29
205,1000269,UR053E,3021028,p14s1,"AB@[1, 1, 0]:18","(1, 0)","RL@[1, 1]:16",18,AB,3,"RB@[3, 5]:6 + W@[3, 6]:9 + RL@[3, 7]:3",43
206,1000269,UR053E,3021047,p52s1,"AB@[3, 1, 0]:25","(1, 0)","RL@[3, 1]:13",25,AB,3,"RL@[3, 3]:7 + W@[3, 4]:12 + RB@[3, 5]:6",3
207,1000295,UR056A,3025166,p28s2,"W:KB@[4, 5, 1]:15","(5, 1)","W@[4, 5]:54",15,W:KB,3,"W-YB@[1, 7]:6 + GG-MB@[1, 8]:5 + W-KB@[1, 9]:4",-18
208,1000299,UR058B,3025636,p11s1,"MB@[1, 0, 0]:11","(0, 0)","W:LK@[1, 0]:1",11,MB,6,"W:KB@[4, 8]:1 + W:KB@[5, 2]:1 + W:KB@[5, 7]:1 + W:KB@[5, 8]:2 + W:LK@[6, 0]:1 + W@[9, 0]:5",28
209,1000390,UR059,3034992,p17s1,"KB@[1, 9, 0]:12","(9, 0)","W@[1, 9]:0",12,KB,3,"G@[2, 11]:4 + G@[2, 12]:4 + G@[2, 13]:4",14
210,1000255,UR079,3020201,p17s1,"W@[4, 3, 0]:25","(3, 0)","AB@[4, 3]:20",25,W,9,"W@[1, 2]:2 + W@[1, 3]:2 + W@[2, 0]:3 + W@[2, 1]:5 + AB@[2, 2]:2 + AB@[2, 3]:3 + AB@[2, 4]:3 + AB@[2, 5]:2 + YB@[3, 0]:3",-8
211,1000280,UR085,3022954,p11s3,"MB@[2, 0, 2]:159","(0, 2)","AB@[2, 0]:7364",159,MB,3,"W:GG@[8, 20]:16 + GG@[8, 21]:44 + B@[8, 22]:99",77
212,1000275,UR089,3022061,p9s1,"AB@[1, 2, 0]:13","(2, 0)","W:KB@[1, 2]:6",13,AB,3,"W:KB@[1, 0]:4 + W:KB@[1, 1]:3 + W:KB@[1, 2]:6",-1
213,1000275,UR089,3022064,p15s2,"AB:MB@[2, 2, 1]:13","(2, 1)","W@[2, 2]:2",13,AB:MB,3,"W:KB@[1, 0]:4 + W:KB@[1, 1]:3 + W:KB@[1, 2]:6",-7
214,1000275,UR089,3022069,p21s2,"W:AB@[3, 2, 1]:14","(2, 1)","MB@[3, 2]:3",14,W:AB,3,"W:KB@[1, 4]:4 + W:KB@[1, 5]:6 + W@[2, 0]:4",-9
215,1000275,UR089,3022072,p27s1,"W:MB@[4, 2, 0]:11","(2, 0)","W:MB@[4, 2]:4",11,W:MB,3,"AB:G0@[0, 5]:4 + W:KB@[1, 0]:4 + W:KB@[1, 1]:3",-20
216,1000275,UR089,3022078,p33s2,"W:AB@[4, 8, 1]:14","(8, 1)","BG:KB@[4, 8]:2",14,W:AB,3,"W:KB@[1, 4]:4 + W:KB@[1, 5]:6 + W@[2, 0]:4",-21
217,1000275,UR089,3022118,p155s1,"W:AB@[8, 14, 0]:12","(14, 0)","W:MB@[8, 14]:3",12,W:AB,3,"BL:RL@[6, 46]:2 + BL:RL@[6, 47]:5 + AB:GG@[6, 48]:5",-34
218,1000275,UR089,3022124,p161s1,"W:AB@[8, 20, 0]:12","(20, 0)","AB@[8, 20]:1",12,W:AB,3,"BL:RL@[6, 46]:2 + BL:RL@[6, 47]:5 + AB:GG@[6, 48]:5",-40
219,1000275,UR089,3022133,p173s2,"AB@[8, 32, 1]:13","(32, 1)","W@[8, 32]:5",13,AB,3,"W:KB@[1, 0]:4 + W:KB@[1, 1]:3 + W:KB@[1, 2]:6",-165
220,1000275,UR089,3022058,p3s2,"W:AB@[0, 2, 1]:14","(2, 1)","AB:G0@[0, 2]:6",14,W:AB,3,"W:KB@[1, 4]:4 + W:KB@[1, 5]:6 + W@[2, 0]:4",9
221,1000275,UR089,3022061,p9s1,"AB@[1, 2, 0]:13","(2, 0)","W:KB@[1, 2]:6",13,AB,3,"MB@[3, 4]:5 + MB@[3, 5]:4 + W:MB@[4, 0]:4",15
222,1000275,UR089,3022064,p15s2,"AB:MB@[2, 2, 1]:13","(2, 1)","W@[2, 2]:2",13,AB:MB,3,"MB@[3, 4]:5 + MB@[3, 5]:4 + W:MB@[4, 0]:4",9
