,khipu_id,name,num_sum_cords,num_left_sums,num_right_sums,min_sum,max_sum,mean_sum,handedness
128,1000035,AS213,1,0,1,16,16,16,4
129,1000036,AS214,4,1,3,13,30,18,3.75
130,1000037,AS215,7,3,4,11,76,25,1.2857142857142858
131,1000038,AS215F,0,0,0,0,0,0,0
132,1000204,AS35A,0,0,0,0,0,0,0
133,1000205,AS35B,0,0,0,0,0,0,0
134,1000420,HP001,0,0,0,0,0,0,0
135,1000421,HP002,0,0,0,0,0,0,0
136,1000422,HP003,17,12,5,52,355,143,-11
137,1000423,HP004,1,0,1,45,45,45,6
138,1000424,HP005,3,2,1,12,32,18,-3
139,1000425,HP006,0,0,0,0,0,0,0
140,1000426,HP007,0,0,0,0,0,0,0
141,1000427,HP008,0,0,0,0,0,0,0
142,1000428,HP009,0,0,0,0,0,0,0
143,1000429,HP010,0,0,0,0,0,0,0
144,1000430,HP011,1,0,1,150,150,150,8
145,1000431,HP012,0,0,0,0,0,0,0
146,1000432,HP013,0,0,0,0,0,0,0
147,1000433,HP014,10,8,2,14,272,62,-11.1
148,1000434,HP015,0,0,0,0,0,0,0
149,1000435,HP016,0,0,0,0,0,0,0
150,1000436,HP017,16,7,9,70,155,95,-6.0625
151,1000437,HP018,7,4,3,11,88,38,-0.42857142857142855
152,1000438,HP019,0,0,0,0,0,0,0
153,1000439,HP020,2,1,1,12,12,12,0.5
154,1000440,HP021,0,0,0,0,0,0,0
155,1000441,HP022,3,0,3,16,29,23,4.333333333333333
156,1000442,HP023,0,0,0,0,0,0,0
157,1000443,HP024,0,0,0,0,0,0,0
158,1000444,HP025,0,0,0,0,0,0,0
159,1000445,HP026,0,0,0,0,0,0,0
160,1000446,HP027,1,0,1,762,762,762,44
161,1000447,HP028,0,0,0,0,0,0,0
162,1000448,HP029,3,1,2,53,1732,753,8.333333333333334
163,1000449,HP030,10,7,3,200,2783,811,-11.9
164,1000450,HP031,0,0,0,0,0,0,0
165,1000451,HP032,1,0,1,18,18,18,6
166,1000562,HP033,5,2,3,13,16,14,2.2
167,1000563,HP034,12,4,8,32,1165,449,24.333333333333332
168,1000566,HP037,4,2,2,267,1334,633,1.5
169,1000567,HP038,0,0,0,0,0,0,0
170,1000593,HP039,22,3,19,49,1215,283,27.454545454545453
171,1000569,HP040,1,1,0,12,12,12,-3
172,1000571,HP042,0,0,0,0,0,0,0
173,1000572,HP043,1,1,0,19,19,19,-9
174,1000573,HP044,1,0,1,15,15,15,10
175,1000575,HP046 A,4,2,2,14,20,17,4
176,1000576,HP046 B,8,4,4,14,29,23,1.5
177,1000579,HP049,0,0,0,0,0,0,0
178,1000580,HP050,1,1,0,22,22,22,-8
179,1000581,HP051 A,7,2,5,12,80,31,4.428571428571429
180,1000582,HP051 B,3,1,2,20,70,36,3.6666666666666665
181,1000583,HP052,17,10,7,30,70,53,-0.9411764705882353
182,1000584,HP053,8,4,4,30,140,80,2.25
183,1000585,HP054,3,2,1,13,63,30,-0.3333333333333333
184,1000586,HP056,74,38,36,11,231,39,1.2837837837837838
185,1000587,HP057,2,0,2,11,14,12,7.5
186,1000625,JC001,9,2,7,12,80,52,0.7777777777777778
187,1000626,JC002,0,0,0,0,0,0,0
188,1000627,JC003,0,0,0,0,0,0,0
189,1000628,JC004,0,0,0,0,0,0,0
190,1000629,JC005,54,22,32,12,913,67,15.092592592592593
191,1000630,JC006,0,0,0,0,0,0,0
192,1000631,JC007,0,0,0,0,0,0,0
193,1000632,JC008,0,0,0,0,0,0,0
194,1000633,JC009,29,11,18,11,62,28,3.6551724137931036
195,1000634,JC010,33,15,18,11,50,23,1.7575757575757576
196,1000635,JC011,11,5,6,13,23,17,0.18181818181818182
197,1000636,JC012,0,0,0,0,0,0,0
198,1000637,JC013,16,5,11,13,76,36,6.625
199,1000638,JC014,0,0,0,0,0,0,0
200,1000639,JC015,0,0,0,0,0,0,0
201,1000640,JC016,0,0,0,0,0,0,0
202,1000641,JC017,0,0,0,0,0,0,0
203,1000642,JC018,0,0,0,0,0,0,0
204,1000643,JC019,0,0,0,0,0,0,0
205,1000644,JC020,0,0,0,0,0,0,0
206,1000645,JC021,0,0,0,0,0,0,0
207,1000646,JC022,0,0,0,0,0,0,0
208,1000647,JC023,0,0,0,0,0,0,0
209,1000012,UR002,16,0,16,22,1054,248,21.125
210,1000020,UR003,1,1,0,11,11,11,-8
